#T/Tc  g^2(2piT) kappa_left kappa_right
1.2 2.4419360856535244 1.0 2.6
1.5 2.240855319037219 1.0 2.1
1.5 2.240855319037219 1.03 2.61
1.5 2.240855319037219 0.532 1.617 
2.0 2.0293103990378727 1.0 2.5
